start_time,end_time,start_x,start_y,end_x,end_y,money
706,2024,79,65,35,95,46.12
707,909,46,14,52,18,13.0
708,1256,71,46,63,40,13.0
709,714,56,82,56,82,13.0
709,1577,74,56,80,62,15.3
711,1273,63,48,67,39,13.0
712,1178,20,88,22,79,13.0
714,1965,20,57,69,36,43.36
717,2568,41,55,71,26,40.14
717,1165,74,83,78,80,13.0
718,1309,16,52,13,77,18.52
718,854,90,85,86,78,13.0
718,2381,4,17,68,92,89.13
718,3298,65,66,20,91,78.09
721,1251,46,66,49,62,13.0
721,1238,61,72,77,55,21.28
721,1321,81,54,83,35,15.76
724,1596,34,93,22,86,18.52
724,1616,20,88,10,57,26.8
725,1205,86,48,85,26,15.76
726,944,63,40,68,41,13.0
726,1257,53,26,48,10,15.76
728,1031,43,46,38,47,13.0
729,909,74,19,75,17,13.0
731,894,35,93,33,96,13.0
732,1167,76,58,76,47,13.0
733,1613,24,90,31,89,24.04
733,1708,80,62,48,49,29.56
736,2226,61,95,72,21,53.94
737,1397,63,51,90,43,21.28
738,1048,21,80,26,81,13.0
739,1324,66,32,51,15,21.28
740,1535,44,12,54,36,21.28
743,1056,98,52,95,62,13.0
744,1591,13,81,41,54,29.56
745,1364,83,46,93,93,32.32
746,1409,48,31,67,17,21.28
747,1612,81,75,71,62,21.28
748,1954,36,46,28,99,43.36
749,1730,80,22,75,49,24.04
749,1232,69,41,69,41,13.0
750,1231,71,39,90,47,15.76
751,1631,67,66,68,96,21.28
752,1729,53,16,38,66,43.36
752,852,75,23,70,23,13.0
753,1640,30,97,73,87,37.84
753,1044,72,21,83,20,13.0
754,2015,54,85,48,45,32.32
754,1294,12,13,21,15,13.0
754,2028,44,6,17,3,40.14
754,1441,76,62,61,78,18.52
755,2508,56,65,65,44,40.14
756,1116,48,22,52,18,13.0
756,2240,68,93,53,18,73.49
756,1120,82,47,83,54,13.0
760,1003,45,95,46,87,13.0
762,958,80,53,82,48,13.0
762,1113,22,62,9,57,13.0
762,917,55,99,58,97,13.0
763,1410,41,93,33,87,15.76
763,1142,72,60,71,42,13.0
764,874,40,59,42,61,13.0
764,1603,65,66,45,61,18.52
764,952,94,82,94,91,13.0
767,1464,56,65,74,66,13.0
769,976,89,33,83,38,13.0
771,1971,94,42,92,57,26.8
771,1120,27,65,55,71,21.28
772,1738,49,21,48,20,18.06
773,1025,74,19,70,24,13.0
773,1530,61,78,60,78,15.76
774,1731,46,37,26,28,18.52
774,1213,22,56,24,33,18.52
774,2290,87,95,10,76,69.58
774,1164,38,69,43,73,13.0
776,1158,65,66,62,55,13.0
777,1204,38,67,12,71,18.52
